DATE,HPI
1978-01-01,53.89
1979-01-01,63.83
1980-01-01,70.6075
1981-01-01,74.405
1982-01-01,74.1725
1983-01-01,72.8625
1984-01-01,73.61
1985-01-01,73.775
1986-01-01,76.535
1987-01-01,78.3075
1988-01-01,79.9425
1989-01-01,83.94
1990-01-01,92.1525
1991-01-01,101.26
1992-01-01,104.99
1993-01-01,105.55
1994-01-01,102.6475
1995-01-01,101.915
1996-01-01,101.35
1997-01-01,101.5025
1998-01-01,104.5025
1999-01-01,105.5575
2000-01-01,109.6425
2001-01-01,119.25
2002-01-01,137.19375
2003-01-01,159.6725
2004-01-01,200.7325
2005-01-01,252.8025
2006-01-01,283.6175
2007-01-01,265.6625
2008-01-01,208.49
2009-01-01,173.5275
2010-01-01,163.8625
2011-01-01,149.1825
2012-01-01,148.795
2013-01-01,164.37
2014-01-01,182.8225
2015-01-01,193.505
2016-01-01,203.6475
2017-01-01,219.9775
2018-01-01,235.13
2019-01-01,245.37
2020-01-01,257.915
2021-01-01,299.53
2022-01-01,351.215
