DATE,HPI
1978-01-01,38.2275
1979-01-01,45.5275
1980-01-01,53
1981-01-01,57.3875
1982-01-01,51.7625
1983-01-01,60.035
1984-01-01,62.1425
1985-01-01,65.6275
1986-01-01,70.37
1987-01-01,79.84
1988-01-01,96.055
1989-01-01,118.4925
1990-01-01,126.2975
1991-01-01,123.9575
1992-01-01,121.6725
1993-01-01,114.11
1994-01-01,105.03
1995-01-01,101.6675
1996-01-01,100.7675
1997-01-01,102.3875
1998-01-01,111.94
1999-01-01,120.115
2000-01-01,129.6475
2001-01-01,142.2275
2002-01-01,160.91
2003-01-01,184.4525
2004-01-01,232.5375
2005-01-01,289.0525
2006-01-01,335.1625
2007-01-01,330.215
2008-01-01,263.1875
2009-01-01,234.1275
2010-01-01,231.045
2011-01-01,221.66
2012-01-01,221.25
2013-01-01,245.09
2014-01-01,272.9275
2015-01-01,291.1
2016-01-01,310.995
2017-01-01,332.73
2018-01-01,355.0525
2019-01-01,366.81
2020-01-01,382.94
2021-01-01,431.485
2022-01-01,498.0325
