DATE,HPI
1978-01-01,30.43
1979-01-01,34.45
1980-01-01,40.36
1981-01-01,45.54
1982-01-01,43.59
1983-01-01,47.38
1984-01-01,48.04
1985-01-01,49.42
1986-01-01,52.24
1987-01-01,56.84
1988-01-01,67.98
1989-01-01,84.68
1990-01-01,86.93
1991-01-01,85.02
1992-01-01,83.83
1993-01-01,78.84
1994-01-01,75.49
1995-01-01,72.98
1996-01-01,72.69
1997-01-01,74.60
1998-01-01,82.55
1999-01-01,88.86
2000-01-01,100.00
2001-01-01,110.35
2002-01-01,124.85
2003-01-01,139.17
2004-01-01,170.36
2005-01-01,211.27
2006-01-01,237.55
2007-01-01,229.56
2008-01-01,188.96
2009-01-01,168.92
2010-01-01,170.06
2011-01-01,162.58
2012-01-01,162.90
2013-01-01,178.54
2014-01-01,200.71
2015-01-01,208.52
2016-01-01,222.11
2017-01-01,233.55
2018-01-01,245.75
2019-01-01,251.61
2020-01-01,257.30
2021-01-01,282.86
2022-01-01,328.31
