DATE,HPI
1978-01-01,49.035
1979-01-01,58.145
1980-01-01,65.0025
1981-01-01,70.645
1982-01-01,70.0325
1983-01-01,70.5825
1984-01-01,72.9
1985-01-01,75.3625
1986-01-01,79.2175
1987-01-01,84.24
1988-01-01,92.055
1989-01-01,109.9375
1990-01-01,121.975
1991-01-01,122.5
1992-01-01,120.835
1993-01-01,115.555
1994-01-01,106.1275
1995-01-01,101.71
1996-01-01,100.76
1997-01-01,100.7675
1998-01-01,108.625
1999-01-01,116.0375
2000-01-01,124.6175
2001-01-01,137.3225
2002-01-01,154.2375
2003-01-01,178.9125
2004-01-01,230.71
2005-01-01,287.845
2006-01-01,328.405
2007-01-01,315.94
2008-01-01,226.965
2009-01-01,163.2875
2010-01-01,176.055
2011-01-01,167.55
2012-01-01,167.1325
2013-01-01,193.8775
2014-01-01,225.8525
2015-01-01,240.305
2016-01-01,255.305
2017-01-01,274.3325
2018-01-01,294.2
2019-01-01,305.63
2020-01-01,321.925
2021-01-01,380.99
2022-01-01,453.51
