DATE,HPI
1978-01-01,40.39
1979-01-01,48.08
1980-01-01,53.865
1981-01-01,60.36
1982-01-01,59.4325
1983-01-01,60.6375
1984-01-01,61.345
1985-01-01,64.0625
1986-01-01,67.31
1987-01-01,71.95
1988-01-01,77.88
1989-01-01,89.61
1990-01-01,109.36
1991-01-01,115.26
1992-01-01,112.88
1993-01-01,108.85
1994-01-01,103.37
1995-01-01,101.17
1996-01-01,100.19
1997-01-01,101.31
1998-01-01,106.72
1999-01-01,112.68
2000-01-01,126.17
2001-01-01,145.91
2002-01-01,164.71
2003-01-01,186.43
2004-01-01,227.71
2005-01-01,279.21
2006-01-01,286.37
2007-01-01,258.46
2008-01-01,206.94
2009-01-01,181.68
2010-01-01,168.58
2011-01-01,154.54
2012-01-01,155.77
2013-01-01,182.58
2014-01-01,205.58
2015-01-01,219.33
2016-01-01,236.48
2017-01-01,257.41
2018-01-01,274.63
2019-01-01,284.75
2020-01-01,299.62
2021-01-01,349.50
2022-01-01,396.15
