DATE,HPI
1978-01-01,42.5875
1979-01-01,51.37
1980-01-01,54.88
1981-01-01,58.19
1982-01-01,55.57
1983-01-01,59.04
1984-01-01,62.21
1985-01-01,65.08
1986-01-01,69.33
1987-01-01,75.54
1988-01-01,85.48
1989-01-01,103.68
1990-01-01,111.43
1991-01-01,110.87
1992-01-01,109.71
1993-01-01,106.11
1994-01-01,102.06
1995-01-01,101.03
1996-01-01,100.76
1997-01-01,103.3525
1998-01-01,113.25
1999-01-01,124.71
2000-01-01,143.24
2001-01-01,161.42
2002-01-01,185.43
2003-01-01,213.45
2004-01-01,267.11
2005-01-01,312.80
2006-01-01,322.30
2007-01-01,301.40
2008-01-01,249.49
2009-01-01,224.11
2010-01-01,222.53
2011-01-01,213.41
2012-01-01,214.87
2013-01-01,240.94
2014-01-01,264.82
2015-01-01,279.55
2016-01-01,297.98
2017-01-01,319.08
2018-01-01,337.99
2019-01-01,347.28
2020-01-01,364.40
2021-01-01,420.48
2022-01-01,496.98
