DATE,HPI
1978-01-01,18.07
1979-01-01,20.66
1980-01-01,25.17
1981-01-01,28.23
1982-01-01,27.24
1983-01-01,28.74
1984-01-01,30.45
1985-01-01,32.81
1986-01-01,34.86
1987-01-01,37.32
1988-01-01,44.52
1989-01-01,58.81
1990-01-01,59.88
1991-01-01,57.37
1992-01-01,56.45
1993-01-01,54.59
1994-01-01,53.81
1995-01-01,54.56
1996-01-01,56.47
1997-01-01,63.10
1998-01-01,71.40
1999-01-01,77.37
2000-01-01,100.00
2001-01-01,110.65
2002-01-01,111.55
2003-01-01,113.82
2004-01-01,122.32
2005-01-01,150.35
2006-01-01,164.88
2007-01-01,164.37
2008-01-01,147.87
2009-01-01,127.41
2010-01-01,127.47
2011-01-01,123.55
2012-01-01,127.05
2013-01-01,141.72
2014-01-01,161.10
2015-01-01,174.17
2016-01-01,191.13
2017-01-01,198.98
2018-01-01,221.97
2019-01-01,218.01
2020-01-01,211.65
2021-01-01,221.65
2022-01-01,255.36
