DATE,HPI
1978-01-01,31.29
1979-01-01,36.80
1980-01-01,42.77
1981-01-01,47.20
1982-01-01,48.00
1983-01-01,49.00
1984-01-01,51.06
1985-01-01,54.21
1986-01-01,58.90
1987-01-01,65.80
1988-01-01,76.53
1989-01-01,96.03
1990-01-01,105.12
1991-01-01,105.08
1992-01-01,103.99
1993-01-01,101.69
1994-01-01,99.3225
1995-01-01,100.31
1996-01-01,101.42
1997-01-01,106.67
1998-01-01,119.47
1999-01-01,135.78
2000-01-01,168.04
2001-01-01,191.78
2002-01-01,201.89
2003-01-01,212.31
2004-01-01,240.99
2005-01-01,287.83
2006-01-01,308.13
2007-01-01,295.57
2008-01-01,260.86
2009-01-01,230.35
2010-01-01,219.60
2011-01-01,207.52
2012-01-01,209.67
2013-01-01,230.91
2014-01-01,255.17
2015-01-01,279.41
2016-01-01,301.65
2017-01-01,321.08
2018-01-01,337.33
2019-01-01,343.64
2020-01-01,347.56
2021-01-01,389.97
2022-01-01,445.25
