DATE,PI
1978-01-01,4040140
1979-01-01,4792411
1980-01-01,5542361
1981-01-01,5807285
1982-01-01,6123544
1983-01-01,6445527
1984-01-01,7113502
1985-01-01,7643191
1986-01-01,8157589
1987-01-01,8884599
1988-01-01,9566290
1989-01-01,10370017
1990-01-01,11303948
1991-01-01,11862727
1992-01-01,12608219
1993-01-01,13348277
1994-01-01,13661123
1995-01-01,14205895
1996-01-01,14842295
1997-01-01,15261271
1998-01-01,16165777
1999-01-01,17127818
2000-01-01,18484717
2001-01-01,19073727
2002-01-01,20421046
2003-01-01,21910996
2004-01-01,23181267
2005-01-01,24077832
2006-01-01,25753508
2007-01-01,27140658
2008-01-01,27702269
2009-01-01,27806136
2010-01-01,29066562
2011-01-01,30713635
2012-01-01,31502991
2013-01-01,32824378
2014-01-01,35044607
2015-01-01,37251040
2016-01-01,38323050
2017-01-01,39208890
2018-01-01,40504743
2019-01-01,42828739
2020-01-01,48552515
2021-01-01,52363942
2022-01-01,51316407
