DATE,PI
1978-01-01,70963500
1979-01-01,79718454
1980-01-01,89465702
1981-01-01,100434385
1982-01-01,106958650
1983-01-01,114753419
1984-01-01,126191783
1985-01-01,135943631
1986-01-01,145190479
1987-01-01,156061486
1988-01-01,167476986
1989-01-01,176957267
1990-01-01,190944513
1991-01-01,193474105
1992-01-01,201705385
1993-01-01,202979701
1994-01-01,207657380
1995-01-01,215673355
1996-01-01,226737121
1997-01-01,236496701
1998-01-01,257401034
1999-01-01,270247679
2000-01-01,285558743
2001-01-01,296318538
2002-01-01,304203926
2003-01-01,318943378
2004-01-01,337811867
2005-01-01,358240314
2006-01-01,387413828
2007-01-01,405131051
2008-01-01,416005884
2009-01-01,403524100
2010-01-01,420356279
2011-01-01,448886977
2012-01-01,477907190
2013-01-01,475453288
2014-01-01,503099674
2015-01-01,535960148
2016-01-01,554158129
2017-01-01,573348398
2018-01-01,595765931
2019-01-01,628932215
2020-01-01,673306158
2021-01-01,720046822
2022-01-01,720740528
