DATE,PI
1978-01-01,19434975
1979-01-01,22419774
1980-01-01,25869273
1981-01-01,29478563
1982-01-01,31284854
1983-01-01,33757954
1984-01-01,37857802
1985-01-01,41242977
1986-01-01,44475398
1987-01-01,48100244
1988-01-01,52775252
1989-01-01,56824272
1990-01-01,60257802
1991-01-01,62355575
1992-01-01,65921297
1993-01-01,67316262
1994-01-01,69503792
1995-01-01,73335478
1996-01-01,78731612
1997-01-01,84945687
1998-01-01,92288690
1999-01-01,98642655
2000-01-01,108236847
2001-01-01,112811520
2002-01-01,115401544
2003-01-01,122017588
2004-01-01,129282291
2005-01-01,137739425
2006-01-01,147668004
2007-01-01,148546895
2008-01-01,146609596
2009-01-01,137983604
2010-01-01,146752367
2011-01-01,156467073
2012-01-01,167428549
2013-01-01,166542339
2014-01-01,173769675
2015-01-01,187042532
2016-01-01,194223700
2017-01-01,202337241
2018-01-01,210648610
2019-01-01,221692307
2020-01-01,240734263
2021-01-01,257834298
2022-01-01,263290135
