DATE,PI
1978-01-01,5477054
1979-01-01,6196778
1980-01-01,7165648
1981-01-01,8251827
1982-01-01,8969315
1983-01-01,9910652
1984-01-01,11286051
1985-01-01,12616103
1986-01-01,14121690
1987-01-01,15616273
1988-01-01,17710890
1989-01-01,20088790
1990-01-01,22314393
1991-01-01,23077988
1992-01-01,24189445
1993-01-01,25005703
1994-01-01,25769329
1995-01-01,26808100
1996-01-01,28244072
1997-01-01,29884880
1998-01-01,32824396
1999-01-01,35056724
2000-01-01,38004183
2001-01-01,41218539
2002-01-01,43744227
2003-01-01,47608106
2004-01-01,51793918
2005-01-01,56459272
2006-01-01,61970346
2007-01-01,65362924
2008-01-01,66699393
2009-01-01,65721385
2010-01-01,68136070
2011-01-01,72179702
2012-01-01,73771301
2013-01-01,76069949
2014-01-01,79630223
2015-01-01,84597340
2016-01-01,88997439
2017-01-01,92451456
2018-01-01,96994918
2019-01-01,103614307
2020-01-01,116939915
2021-01-01,126261006
2022-01-01,127195983
