DATE,PI
1978-01-01,7013224
1979-01-01,7919078
1980-01-01,8803887
1981-01-01,9734532
1982-01-01,10494750
1983-01-01,11349917
1984-01-01,12669262
1985-01-01,14080704
1986-01-01,15348684
1987-01-01,16532049
1988-01-01,18010477
1989-01-01,19825738
1990-01-01,21679195
1991-01-01,22893505
1992-01-01,24139087
1993-01-01,24513123
1994-01-01,25604883
1995-01-01,27105656
1996-01-01,27988671
1997-01-01,29481957
1998-01-01,31641394
1999-01-01,33738822
2000-01-01,36858697
2001-01-01,39940366
2002-01-01,41614128
2003-01-01,44002328
2004-01-01,46205070
2005-01-01,47934433
2006-01-01,50639376
2007-01-01,52911997
2008-01-01,54460290
2009-01-01,53374111
2010-01-01,54432590
2011-01-01,56971040
2012-01-01,58911556
2013-01-01,60921536
2014-01-01,64560357
2015-01-01,69100516
2016-01-01,71627441
2017-01-01,74690008
2018-01-01,78526608
2019-01-01,82815002
2020-01-01,90813891
2021-01-01,98105641
2022-01-01,97517936
