DATE,PI
1978-01-01,16558724
1979-01-01,18774001
1980-01-01,21685978
1981-01-01,24698953
1982-01-01,26757854
1983-01-01,28912657
1984-01-01,32379386
1985-01-01,35556806
1986-01-01,38759351
1987-01-01,41708359
1988-01-01,45984919
1989-01-01,49948206
1990-01-01,52758991
1991-01-01,55086852
1992-01-01,57793795
1993-01-01,59109878
1994-01-01,60830019
1995-01-01,63598316
1996-01-01,67787222
1997-01-01,72194802
1998-01-01,79975393
1999-01-01,86904668
2000-01-01,95225126
2001-01-01,98120504
2002-01-01,102400239
2003-01-01,108141089
2004-01-01,116704322
2005-01-01,121815272
2006-01-01,128126344
2007-01-01,131979831
2008-01-01,135317499
2009-01-01,131278107
2010-01-01,136161972
2011-01-01,144475867
2012-01-01,151092176
2013-01-01,155648494
2014-01-01,164691400
2015-01-01,174081824
2016-01-01,180838809
2017-01-01,187630531
2018-01-01,194949226
2019-01-01,204586175
2020-01-01,222600097
2021-01-01,240216669
2022-01-01,243506541
