DATE,PI
1978-01-01,8565004
1979-01-01,9404935
1980-01-01,10364992
1981-01-01,11659527
1982-01-01,12440944
1983-01-01,13559457
1984-01-01,14861342
1985-01-01,15760763
1986-01-01,16813900
1987-01-01,17394284
1988-01-01,19427904
1989-01-01,20201459
1990-01-01,21212227
1991-01-01,22662947
1992-01-01,23545481
1993-01-01,24160416
1994-01-01,24832594
1995-01-01,27017758
1996-01-01,28996917
1997-01-01,30741072
1998-01-01,34823641
1999-01-01,38173428
2000-01-01,44240836
2001-01-01,44204835
2002-01-01,42577559
2003-01-01,42566514
2004-01-01,45142119
2005-01-01,49436002
2006-01-01,54879829
2007-01-01,57934719
2008-01-01,59108238
2009-01-01,57337427
2010-01-01,60634263
2011-01-01,65202071
2012-01-01,71831160
2013-01-01,73391437
2014-01-01,81851860
2015-01-01,89619269
2016-01-01,96454751
2017-01-01,103185030
2018-01-01,111996017
2019-01-01,112133213
2020-01-01,117292346
2021-01-01,129774521
2022-01-01,125970097
