DATE,PI
1978-01-01,1611473
1979-01-01,1837539
1980-01-01,2137179
1981-01-01,2423733
1982-01-01,2593549
1983-01-01,2919166
1984-01-01,3234512
1985-01-01,3432447
1986-01-01,3682206
1987-01-01,3934416
1988-01-01,4322252
1989-01-01,4586161
1990-01-01,4982088
1991-01-01,5185505
1992-01-01,5534753
1993-01-01,5747171
1994-01-01,5970796
1995-01-01,6372002
1996-01-01,6858932
1997-01-01,7273999
1998-01-01,7869531
1999-01-01,8683079
2000-01-01,10053726
2001-01-01,10142071
2002-01-01,9924226
2003-01-01,10014837
2004-01-01,10365570
2005-01-01,10411179
2006-01-01,10987816
2007-01-01,11564815
2008-01-01,11970815
2009-01-01,11780483
2010-01-01,12854613
2011-01-01,13060271
2012-01-01,13782878
2013-01-01,14052964
2014-01-01,14653925
2015-01-01,15572810
2016-01-01,16070715
2017-01-01,17075441
2018-01-01,17767743
2019-01-01,18933052
2020-01-01,21176826
2021-01-01,23183258
2022-01-01,22832350
