DATE,RP
1978-01-01,1853.100
1979-01-01,1892.000
1980-01-01,1932.921
1981-01-01,2004.806
1982-01-01,2045.925
1983-01-01,2088.886
1984-01-01,2123.362
1985-01-01,2171.930
1986-01-01,2228.895
1987-01-01,2281.486
1988-01-01,2333.101
1989-01-01,2383.920
1990-01-01,2418.986
1991-01-01,2452.691
1992-01-01,2497.014
1993-01-01,2532.639
1994-01-01,2566.599
1995-01-01,2603.678
1996-01-01,2643.996
1997-01-01,2709.277
1998-01-01,2773.187
1999-01-01,2815.933
2000-01-01,2856.241
2001-01-01,2890.684
2002-01-01,2917.162
2003-01-01,2941.573
2004-01-01,2956.461
2005-01-01,2957.404
2006-01-01,2952.610
2007-01-01,2957.307
2008-01-01,2988.541
2009-01-01,3023.265
2010-01-01,3016.376
2011-01-01,3050.199
2012-01-01,3078.71
2013-01-01,3105.262
2014-01-01,3126.523
2015-01-01,3148.952
2016-01-01,3164.277
2017-01-01,3174.159
2018-01-01,3175.579
2019-01-01,3170.851
2020-01-01,3185.516
2021-01-01,3161.005
2022-01-01,3151.184
