DATE,RP
1978-01-01,611.900
1979-01-01,640.000
1980-01-01,663.199
1981-01-01,693.249
1982-01-01,719.842
1983-01-01,746.898
1984-01-01,783.202
1985-01-01,825.685
1986-01-01,871.209
1987-01-01,930.059
1988-01-01,995.977
1989-01-01,1084.568
1990-01-01,1193.156
1991-01-01,1246.326
1992-01-01,1286.364
1993-01-01,1315.090
1994-01-01,1346.651
1995-01-01,1373.034
1996-01-01,1393.732
1997-01-01,1423.934
1998-01-01,1461.916
1999-01-01,1507.912
2000-01-01,1558.970
2001-01-01,1614.452
2002-01-01,1682.672
2003-01-01,1764.303
2004-01-01,1845.608
2005-01-01,1917.246
2006-01-01,1994.262
2007-01-01,2054.818
2008-01-01,2087.348
2009-01-01,2121.839
2010-01-01,2201.562
2011-01-01,2233.84
2012-01-01,2260.763
2013-01-01,2286.087
2014-01-01,2315.238
2015-01-01,2344.648
2016-01-01,2378.282
2017-01-01,2413.058
2018-01-01,2443.221
2019-01-01,2465.569
2020-01-01,2422.847
2021-01-01,2453.178
2022-01-01,2473.902
