DATE,RP
1978-01-01,174.900
1979-01-01,184.000
1980-01-01,188.141
1981-01-01,193.590
1982-01-01,197.353
1983-01-01,201.921
1984-01-01,205.964
1985-01-01,212.143
1986-01-01,216.661
1987-01-01,221.202
1988-01-01,225.700
1989-01-01,231.463
1990-01-01,229.616
1991-01-01,229.935
1992-01-01,232.912
1993-01-01,235.386
1994-01-01,237.714
1995-01-01,239.324
1996-01-01,241.168
1997-01-01,245.344
1998-01-01,250.889
1999-01-01,253.667
2000-01-01,255.812
2001-01-01,255.588
2002-01-01,253.637
2003-01-01,251.617
2004-01-01,250.352
2005-01-01,248.858
2006-01-01,248.581
2007-01-01,249.877
2008-01-01,252.673
2009-01-01,255.671
2010-01-01,263.174
2011-01-01,264.927
2012-01-01,266.391
2013-01-01,268.836
2014-01-01,270.863
2015-01-01,273.495
2016-01-01,274.476
2017-01-01,274.865
2018-01-01,273.713
2019-01-01,272.87
2020-01-01,270.462
2021-01-01,260.495
2022-01-01,264.37
